ts_utc,close
2025-09-20T20:00:00+00:00,115721.10000000
2025-09-20T21:00:00+00:00,115786.31000000
2025-09-20T22:00:00+00:00,115776.06000000
2025-09-20T23:00:00+00:00,115685.63000000
2025-09-21T00:00:00+00:00,115660.01000000
2025-09-21T01:00:00+00:00,115500.00000000
2025-09-21T02:00:00+00:00,115690.76000000
2025-09-21T03:00:00+00:00,115669.41000000
2025-09-21T04:00:00+00:00,115494.23000000
2025-09-21T05:00:00+00:00,115663.48000000
2025-09-21T06:00:00+00:00,115687.20000000
2025-09-21T07:00:00+00:00,115815.97000000
2025-09-21T08:00:00+00:00,115629.60000000
2025-09-21T09:00:00+00:00,115683.54000000
2025-09-21T10:00:00+00:00,115522.31000000
2025-09-21T11:00:00+00:00,115603.45000000
2025-09-21T12:00:00+00:00,115683.59000000
2025-09-21T13:00:00+00:00,115661.65000000
2025-09-21T14:00:00+00:00,115500.01000000
2025-09-21T15:00:00+00:00,115531.61000000
2025-09-21T16:00:00+00:00,115316.00000000
2025-09-21T17:00:00+00:00,115628.18000000
2025-09-21T18:00:00+00:00,115530.90000000
2025-09-21T19:00:00+00:00,115480.05000000
2025-09-21T20:00:00+00:00,115307.51000000
2025-09-21T21:00:00+00:00,115405.48000000
2025-09-21T22:00:00+00:00,115538.90000000
2025-09-21T23:00:00+00:00,115232.29000000
2025-09-22T00:00:00+00:00,114407.28000000
2025-09-22T01:00:00+00:00,114273.45000000
2025-09-22T02:00:00+00:00,114187.81000000
2025-09-22T03:00:00+00:00,114649.89000000
2025-09-22T04:00:00+00:00,114433.53000000
2025-09-22T05:00:00+00:00,113691.19000000
2025-09-22T06:00:00+00:00,112800.77000000
2025-09-22T07:00:00+00:00,112519.99000000
2025-09-22T08:00:00+00:00,112629.07000000
2025-09-22T09:00:00+00:00,112336.62000000
2025-09-22T10:00:00+00:00,112792.16000000
2025-09-22T11:00:00+00:00,112876.97000000
2025-09-22T12:00:00+00:00,112738.65000000
2025-09-22T13:00:00+00:00,113130.63000000
2025-09-22T14:00:00+00:00,112933.16000000
2025-09-22T15:00:00+00:00,112815.50000000
2025-09-22T16:00:00+00:00,112600.68000000
2025-09-22T17:00:00+00:00,112398.66000000
2025-09-22T18:00:00+00:00,112429.13000000
2025-09-22T19:00:00+00:00,112003.79000000
